,rate,M1,M2,M3,M4,T1,T2
2022-03-25,0.41666666666666663,52.06,80.15,52.35,22.35,1278.8734930555556,898.5018333333335
2022-02-10,0.41666666666666663,58.53,120.67,45.41,18.65,1404.8262986111113,887.2652361111111
2022-02-22,0.41666666666666663,55.6,100.64,49.21,20.38,932.1366180555556,937.0259305555554
2022-02-18,0.45833333333333337,58.12,107.43,49.27,17.58,1047.8361527777777,818.2681111111111
2022-03-14,0.5416666666666667,57.02,109.98,49.63,19.21,969.9463680555556,957.3492708333333
2022-03-13,0.5416666666666667,54.41,93.77,50.84,19.31,1305.2944297635606,1016.6524895688457
2022-02-24,0.5833333333333333,58.39,117.32,48.48,17.88,1214.3355555555556,1004.265576388889
2022-02-16,0.625,61.6,125.34,43.05,16.66,1246.060981210856,858.8625817675712
2022-04-05,0.6666666666666667,52.95,88.09,52.89,21.59,764.3032430555555,785.4661319444444
2022-02-13,0.7083333333333333,57.91,101.79,50.17,18.71,1351.7942222222223,897.2978819444446
2022-02-11,0.75,60.0,117.7,47.94,16.76,1352.4045391061454,876.443002793296
2022-02-14,0.75,55.92,106.07,47.7,20.4,1395.6715902777776,904.3139583333334
2022-02-15,0.7916666666666666,54.09,101.96,48.73,22.89,1384.9399443671766,889.0930250347706
2022-02-17,0.8333333333333334,59.72,114.9,45.1,16.44,1266.149451388889,863.8195763888889
2022-02-12,0.875,63.3,132.38,44.08,15.28,1114.2366458333333,824.6323611111112
